epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,237.864,0.67945,0.44915,1.01867,0.98694,1,0.995,0.79204,0.85267,0.38794,1.10344,0.0002905,0.0002905,0.0002905
45,242.239,0.68023,0.43978,1.01226,0.9869,1,0.995,0.77795,0.87482,0.38784,1.0906,0.000274,0.000274,0.000274
46,246.633,0.62751,0.3936,0.97114,0.99133,0.99976,0.995,0.798,0.8179,0.36594,1.07498,0.0002575,0.0002575,0.0002575
47,251.434,0.6341,0.39072,0.97295,0.99173,1,0.995,0.80408,0.80839,0.35575,1.09283,0.000241,0.000241,0.000241
48,255.611,0.67353,0.49222,1.04706,0.98929,1,0.995,0.79167,0.86182,0.37313,1.11172,0.0002245,0.0002245,0.0002245
49,260.162,0.65135,0.40695,0.99074,0.98905,1,0.995,0.79638,0.85246,0.3773,1.10963,0.000208,0.000208,0.000208
50,265.437,0.61838,0.40088,0.98607,0.98921,1,0.995,0.79724,0.78801,0.34281,1.09503,0.0001915,0.0001915,0.0001915
51,289.838,0.54089,0.33501,0.93257,0.98929,1,0.995,0.80238,0.78707,0.34782,1.08877,0.000175,0.000175,0.000175
52,302.287,0.51196,0.34715,0.90535,0.99004,1,0.995,0.80319,0.78335,0.34441,1.06263,0.0001585,0.0001585,0.0001585
53,311.156,0.52413,0.33157,0.89063,0.99057,1,0.995,0.81285,0.78635,0.33837,1.06242,0.000142,0.000142,0.000142
54,317.403,0.53203,0.3127,0.89775,0.99055,1,0.995,0.81422,0.76648,0.33922,1.05631,0.0001255,0.0001255,0.0001255
55,321.401,0.50723,0.31199,0.89299,0.99148,1,0.995,0.80755,0.75362,0.33661,1.06283,0.000109,0.000109,0.000109
56,325.728,0.49019,0.31016,0.89117,0.99123,1,0.995,0.80203,0.75387,0.33223,1.07259,9.25e-05,9.25e-05,9.25e-05
57,330.519,0.49652,0.29844,0.88963,0.99106,1,0.995,0.80136,0.75117,0.3296,1.07003,7.6e-05,7.6e-05,7.6e-05
58,334.259,0.49402,0.30409,0.9193,0.99133,1,0.995,0.80181,0.75534,0.32778,1.05835,5.95e-05,5.95e-05,5.95e-05
59,338.128,0.50947,0.38411,0.95661,0.99131,1,0.995,0.80522,0.76563,0.32489,1.05759,4.3e-05,4.3e-05,4.3e-05
60,343.483,0.46841,0.2824,0.89236,0.99191,1,0.995,0.80118,0.76363,0.32207,1.05601,2.65e-05,2.65e-05,2.65e-05
